state_range,reward
32150-500,-10.0
32200-500,-10.0
32250-500,-10.0
32300-500,-10.0
32350-500,-10.0
32400-500,-10.0
32450-500,-10.0
32500-500,-10.0
32550-500,-10.0
32600-500,-10.0
32650-500,-10.0
32700-500,-10.0
32750-500,-10.0
32800-500,-10.0
32850-500,-10.0
32900-500,-10.0
32950-500,-10.0
33000-500,-10.0
33050-500,-10.0
33100-500,-10.0
33150-500,-10.0
33200-500,-10.0
33250-500,-10.0
33300-500,-10.0
33350-500,-10.0
33400-500,-10.0
33450-500,-10.0
33500-500,-10.0
33550-500,-10.0
33600-500,-10.0
33650-500,-10.0
33700-500,-10.0
33750-500,-10.0
33800-500,-10.0
33850-500,-10.0
33900-500,-10.0
33950-500,-10.0
34000-500,-10.0
34050-500,-10.0
34100-500,-10.0
34150-500,-10.0
34200-500,-10.0
34250-500,-10.0
34300-500,-10.0
34350-500,-10.0
34400-500,-10.0
34450-500,-10.0
34500-500,-10.0
34550-500,-10.0
34600-500,-10.0
34650-500,-10.0
34700-500,-10.0
34750-500,-10.0
34800-500,-10.0
34850-500,-10.0
34900-500,-10.0
34950-500,-10.0
35000-500,-10.0
35050-500,-10.0
35100-500,-10.0
35150-500,-10.0
35200-500,-10.0
35250-500,-10.0
35300-500,-10.0
35350-500,-10.0
35400-500,-10.0
35450-500,-10.0
35500-500,-10.0
35550-500,-10.0
35600-500,-10.0
35650-500,-10.0
35700-500,-10.0
35750-500,-10.0
35800-500,-10.0
35850-500,-10.0
35900-500,-10.0
35950-500,-10.0
36000-500,-10.0
36050-500,-10.0
36100-500,-10.0
36150-500,-10.0
36200-500,-10.0
36250-500,-10.0
36300-500,-10.0
36350-500,-10.0
36400-500,-10.0
36450-500,-10.0
36500-500,-10.0
36550-500,-10.0
36600-500,-10.0
36650-500,-10.0
36700-500,-10.0
36750-500,-10.0
36800-500,-10.0
36850-500,-10.0
36900-500,-10.0
36950-500,-10.0
37000-500,-10.0
37050-500,-10.0
37100-500,-10.0
37150-500,-10.0
37200-500,-10.0
37250-500,-10.0
37300-500,-10.0
37350-500,-10.0
37400-500,-10.0
37450-500,-10.0
37500-500,-10.0
37550-500,-10.0
37600-500,-10.0
37650-500,-10.0
37700-500,-10.0
37750-500,-10.0
37800-500,-10.0
37850-500,-10.0
37900-500,-10.0
37950-500,-10.0
38000-500,-10.0
38050-500,-10.0
38100-500,-10.0
38150-500,-10.0
38200-500,-10.0
38250-500,-10.0
38300-500,-10.0
38350-500,-10.0
38400-500,-10.0
38450-500,-10.0
38500-500,-10.0
38550-500,-10.0
38600-500,-10.0
38650-500,-10.0
38700-500,-10.0
38750-500,-10.0
38800-500,-10.0
38850-500,-10.0
38900-500,-10.0
38950-500,-10.0
39000-500,-10.0
39050-500,-10.0
39100-500,-10.0
39150-500,-10.0
39200-500,-10.0
39250-500,-10.0
39300-500,-10.0
39350-500,-10.0
39400-500,-10.0
39450-500,-10.0
39500-500,-10.0
39550-500,-10.0
39600-500,-10.0
39650-500,-10.0
39700-500,-10.0
39750-500,-10.0
39800-500,-10.0
39850-500,-10.0
39900-500,-10.0
39950-500,-10.0
40000-500,-10.0
40050-500,-10.0
40100-500,-10.0
40150-500,-10.0
40200-500,-10.0
40250-500,-10.0
40300-500,-10.0
40350-500,-10.0
40400-500,-10.0
40450-500,-10.0
40500-500,-10.0
40550-500,-10.0
40600-500,-10.0
40650-500,-10.0
40700-500,-10.0
40750-500,-10.0
40800-500,-10.0
40850-500,-10.0
40900-500,-10.0
40950-500,-10.0
41000-500,-10.0
41050-500,-10.0
41100-500,-10.0
41150-500,-10.0
41200-500,-10.0
41250-500,-10.0
41300-500,-10.0
41350-500,-10.0
41400-500,-10.0
41450-500,-10.0
41500-500,-10.0
41550-500,-10.0
41600-500,-10.0
41650-500,-10.0
41700-500,-10.0
41750-500,-10.0
41800-500,-10.0
41850-500,-10.0
41900-500,-10.0
41950-500,-10.0
42000-500,-10.0
42050-500,-10.0
42100-500,-10.0
42150-500,-10.0
42200-500,-10.0
42250-500,-10.0
42300-500,-10.0
42350-500,-10.0
42400-500,-10.0
42450-500,-10.0
42500-500,-10.0
42550-500,-10.0
42600-500,-10.0
42650-500,-10.0
42700-500,-10.0
42750-500,-10.0
42800-500,-10.0
42850-500,-10.0
42900-500,-10.0
42950-500,-10.0
43000-500,-10.0
43050-500,-10.0
43100-500,-10.0
43150-500,-10.0
43200-500,-10.0
43250-500,-10.0
43300-500,-10.0
43350-500,-10.0
43400-500,-10.0
43450-500,-10.0
43500-500,-10.0
43550-500,-10.0
43600-500,-10.0
43650-500,-10.0
43700-500,-10.0
43750-500,-10.0
43800-500,-10.0
43850-500,-10.0
43900-500,-10.0
43950-500,-10.0
44000-500,-10.0
44050-500,-10.0
44100-500,-10.0
44150-500,-10.0
44200-500,-10.0
44250-500,-10.0
44300-500,-10.0
44350-500,-10.0
44400-500,-10.0
44450-500,-10.0
44500-500,-10.0
44550-500,-10.0
44600-500,-10.0
44650-500,-10.0
44700-500,-10.0
44750-500,-10.0
44800-500,-10.0
44850-500,-10.0
44900-500,-10.0
44950-500,-10.0
45000-500,-10.0
45050-500,-10.0
45100-500,-10.0
45150-500,-10.0
45200-500,-10.0
45250-500,-10.0
45300-500,-10.0
45350-500,-10.0
45400-500,-10.0
45450-500,-10.0
45500-500,-10.0
45550-500,-10.0
45600-500,-10.0
45650-500,-10.0
45700-500,-10.0
45750-500,-10.0
45800-500,-10.0
45850-500,-10.0
45900-500,-10.0
45950-500,-10.0
46000-500,-10.0
46050-500,-10.0
46100-500,-10.0
46150-500,-10.0
46200-500,-10.0
46250-500,-10.0
46300-500,-10.0
46350-500,-10.0
46400-500,-10.0
46450-500,-10.0
46500-500,-10.0
46550-500,-10.0
46600-500,-10.0
46650-500,-10.0
46700-500,-10.0
46750-500,-10.0
46800-500,-10.0
46850-500,-10.0
46900-500,-10.0
46950-500,-10.0
47000-500,-10.0
47050-500,-10.0
47100-500,-10.0
47150-500,-10.0
47200-500,-10.0
47250-500,-10.0
47300-500,-10.0
47350-500,-10.0
47400-500,-10.0
47450-500,-10.0
47500-500,-10.0
47550-500,-10.0
47600-500,-10.0
47650-500,-10.0
47700-500,-10.0
47750-500,-10.0
47800-500,-10.0
47850-500,-10.0
47900-500,-10.0
47950-500,-10.0
48000-500,-10.0
48050-500,-10.0
48100-500,-10.0
48150-500,-10.0
48200-500,-10.0
48250-500,-10.0
48300-500,-10.0
48350-500,-10.0
48400-500,-10.0
48450-500,-10.0
48500-500,-10.0
48550-500,-10.0
48600-500,-10.0
48650-500,-10.0
48700-500,-10.0
48750-500,-10.0
48800-500,-10.0
48850-500,-10.0
48900-500,-10.0
48950-500,-10.0
49000-500,-10.0
49050-500,-10.0
49100-500,-10.0
49150-500,-10.0
49200-500,-10.0
49250-500,-10.0
49300-500,-10.0
49350-500,-10.0
49400-500,-10.0
49450-500,-10.0
49500-500,-10.0
49550-500,-10.0
49600-500,-10.0
49650-500,-10.0
49700-500,-10.0
49750-500,-10.0
49800-500,-10.0
49850-500,-10.0
49900-500,-10.0
49950-500,-10.0
50000-500,-10.0
50050-500,-10.0
50100-500,-10.0
50150-500,-10.0
50200-500,-10.0
50250-500,-10.0
50300-500,-10.0
50350-500,-10.0
50400-500,-10.0
50450-500,-10.0
50500-500,-10.0
50550-500,-10.0
50600-500,-10.0
50650-500,-10.0
50700-500,-10.0
50750-500,-10.0
50800-500,-10.0
50850-500,-10.0
50900-500,-10.0
50950-500,-10.0
51000-500,-10.0
51050-500,-10.0
51100-500,-10.0
51150-500,-10.0
51200-500,-10.0
51250-500,-10.0
51300-500,-10.0
51350-500,-10.0
51400-500,-10.0
51450-500,-10.0
51500-500,-10.0
51550-500,-10.0
51600-500,-10.0
51650-500,-10.0
51700-500,-10.0
51750-500,-10.0
51800-500,-10.0
51850-500,-10.0
51900-500,-10.0
51950-500,-10.0
52000-500,-10.0
52050-500,-10.0
52100-500,-10.0
52150-500,-10.0
52200-500,-10.0
52250-500,-10.0
52300-500,-10.0
52350-500,-10.0
52400-500,-10.0
52450-500,-10.0
52500-500,-10.0
52550-500,-10.0
52600-500,-10.0
52650-500,-10.0
52700-500,-10.0
52750-500,-10.0
52800-500,-10.0
52850-500,-10.0
52900-500,-10.0
52950-500,-10.0
53000-500,-10.0
53050-500,-10.0
53100-500,-10.0
53150-500,-10.0
53200-500,-10.0
53250-500,-10.0
53300-500,-10.0
53350-500,-10.0
53400-500,-10.0
53450-500,-10.0
53500-500,-10.0
53550-500,-10.0
53600-500,-10.0
53650-500,-10.0
53700-500,-10.0
53750-500,-10.0
53800-500,-10.0
53850-500,-10.0
53900-500,-10.0
53950-500,-10.0
54000-500,-10.0
54050-500,-10.0
54100-500,-10.0
54150-500,-10.0
54200-500,-10.0
54250-500,-10.0
54300-500,-10.0
54350-500,-10.0
54400-500,-10.0
54450-500,-10.0
54500-500,-10.0
54550-500,-10.0
54600-500,-10.0
54650-500,-10.0
54700-500,-10.0
54750-500,-10.0
54800-500,-10.0
54850-500,-10.0
54900-500,-10.0
54950-500,-10.0
55000-500,-10.0
55050-500,-10.0
55100-500,-10.0
55150-500,-10.0
55200-500,-10.0
55250-500,-10.0
55300-500,-10.0
55350-500,-10.0
55400-500,-10.0
55450-500,-10.0
55500-500,-10.0
55550-500,-10.0
55600-500,-10.0
55650-500,-10.0
55700-500,-10.0
55750-500,-10.0
55800-500,-10.0
55850-500,-10.0
55900-500,-10.0
55950-500,-10.0
56000-500,-10.0
56050-500,-10.0
56100-500,-10.0
56150-500,-10.0
56200-500,-10.0
56250-500,-10.0
56300-500,-10.0
56350-500,-10.0
56400-500,-10.0
56450-500,-10.0
56500-500,-10.0
56550-500,-10.0
56600-500,-10.0
56650-500,-10.0
56700-500,-10.0
56750-500,-10.0
56800-500,-10.0
56850-500,-10.0
56900-500,-10.0
56950-500,-10.0
57000-500,-10.0
57050-500,-10.0
57100-500,-10.0
57150-500,-10.0
57200-500,-10.0
57250-500,-10.0
57300-500,-10.0
57350-500,-10.0
57400-500,-10.0
57450-500,-10.0
57500-500,-10.0
57550-500,-10.0
57600-500,-10.0
57650-500,-10.0
57700-500,-10.0
57750-500,-10.0
57800-500,-10.0
57850-500,-10.0
57900-500,-10.0
57950-500,-10.0
58000-500,-10.0
58050-500,-10.0
58100-500,-10.0
58150-500,-10.0
58200-500,-10.0
58250-500,-10.0
58300-500,-10.0
58350-500,-10.0
58400-500,-10.0
58450-500,-10.0
58500-500,-10.0
58550-500,-10.0
58600-500,-10.0
58650-500,-10.0
58700-500,-10.0
58750-500,-10.0
58800-500,-10.0
58850-500,-10.0
58900-500,-10.0
58950-500,-10.0
59000-500,-10.0
59050-500,-10.0
59100-500,-10.0
59150-500,-10.0
59200-500,-10.0
59250-500,-10.0
59300-500,-10.0
59350-500,-10.0
59400-500,-10.0
59450-500,-10.0
59500-500,-10.0
59550-500,-10.0
59600-500,-10.0
59650-500,-10.0
59700-500,-10.0
59750-500,-10.0
59800-500,-10.0
59850-500,-10.0
59900-500,-10.0
59950-500,-10.0
60000-500,-10.0
60050-500,-10.0
60100-500,-10.0
60150-500,-10.0
60200-500,-10.0
60250-500,-10.0
60300-500,-10.0
60350-500,-10.0
60400-500,-10.0
60450-500,-10.0
60500-500,-10.0
60550-500,-10.0
60600-500,-10.0
60650-500,-10.0
60700-500,-10.0
60750-500,-10.0
